Feature,Alone_CV_accuracy,Coverage
viscosity,0.7039076842381327,1.0
saturates,0.6682926829268293,0.3948220064724919
resins,0.6569630212431157,0.383495145631068
asphaltenes,0.6423944400734329,0.7346278317152104
aromatics,0.6068056648308419,0.40291262135922334
sulfur,0.5712300026226069,0.11326860841423947
flash_point,0.5631261473905063,0.4692556634304207
pour_point,0.522633097298715,0.7233009708737864
